,is_a (input),TZ,overlaps (input),CEN,overlaps (inferred),is_a (inferred),congruent
0,9,5,6,5,10,0,0
1,9,5,6,5,9,1,0
2,9,5,6,5,9,1,0
3,9,5,6,5,8,2,0
4,9,5,6,5,9,1,0
5,9,5,6,5,8,2,0
6,9,5,6,5,8,2,0
7,9,5,6,5,7,3,0
8,9,5,6,5,9,1,0
9,9,5,6,5,8,2,0
10,9,5,6,5,8,2,0
11,9,5,6,5,7,3,0
12,9,5,6,5,8,2,0
13,9,5,6,5,7,3,0
14,9,5,6,5,7,3,0
15,9,5,6,5,6,4,0
16,8,5,6,5,9,1,0
17,8,5,6,5,8,2,0
18,8,5,6,5,8,2,0
19,8,5,6,5,7,3,0
20,8,5,6,5,8,2,0
21,8,5,6,5,7,3,0
22,8,5,6,5,7,3,0
23,8,5,6,5,6,4,0
24,8,5,6,5,8,2,0
25,8,5,6,5,7,3,0
26,8,5,6,5,7,3,0
27,8,5,6,5,6,4,0
28,8,5,6,5,7,3,0
29,8,5,6,5,6,4,0
30,8,5,6,5,6,4,0
31,8,5,6,5,5,5,0
32,9,5,6,5,9,1,0
33,9,5,6,5,8,2,0
34,9,5,6,5,8,2,0
35,9,5,6,5,7,3,0
36,9,5,6,5,8,2,0
37,9,5,6,5,7,3,0
38,9,5,6,5,7,3,0
39,9,5,6,5,6,4,0
40,8,5,6,5,8,2,0
41,8,5,6,5,7,3,0
42,8,5,6,5,7,3,0
43,8,5,6,5,6,4,0
44,8,5,6,5,7,3,0
45,8,5,6,5,6,4,0
46,8,5,6,5,6,4,0
47,8,5,6,5,5,5,0
48,9,5,6,5,8,2,0
49,9,5,6,5,7,3,0
50,9,5,6,5,7,3,0
51,9,5,6,5,6,4,0
52,8,5,6,5,7,3,0
53,8,5,6,5,6,4,0
54,8,5,6,5,6,4,0
55,8,5,6,5,5,5,0
56,9,5,6,5,6,1,0
57,8,5,6,5,5,2,0
58,8,5,6,5,5,2,0
59,7,5,6,5,4,3,0
60,7,5,6,5,5,2,0
61,6,5,6,5,4,3,0
62,6,5,6,5,4,3,0
63,5,5,6,5,3,4,0
64,9,5,6,5,8,1,0
65,9,5,6,5,7,2,0
66,9,5,6,5,7,2,0
67,9,5,6,5,6,3,0
68,8,5,6,5,7,2,0
69,8,5,6,5,6,3,0
70,8,5,6,5,6,3,0
71,8,5,6,5,5,4,0
72,9,5,6,5,7,2,0
73,9,5,6,5,6,3,0
74,9,5,6,5,6,3,0
75,9,5,6,5,5,4,0
76,8,5,6,5,6,3,0
77,8,5,6,5,5,4,0
78,8,5,6,5,5,4,0
79,8,5,6,5,4,5,0
80,8,5,6,5,7,2,0
81,8,5,6,5,6,3,0
82,7,5,6,5,6,3,0
83,7,5,6,5,5,4,0
84,8,5,6,5,6,3,0
85,8,5,6,5,5,4,0
86,7,5,6,5,5,4,0
87,7,5,6,5,4,5,0
88,8,5,6,5,6,3,0
89,7,5,6,5,5,4,0
90,8,5,6,5,5,4,0
91,7,5,6,5,4,5,0
92,8,5,6,5,4,2,0
93,6,5,6,5,3,3,0
94,7,5,6,5,3,3,0
95,5,5,6,5,2,4,0
96,9,5,6,5,7,2,0
97,9,5,6,5,6,3,0
98,9,5,6,5,6,3,0
99,9,5,6,5,5,4,0
100,8,5,6,5,6,3,0
101,8,5,6,5,5,4,0
102,8,5,6,5,5,4,0
103,8,5,6,5,4,5,0
104,9,5,6,5,6,3,0
105,9,5,6,5,5,4,0
106,9,5,6,5,5,4,0
107,9,5,6,5,4,5,0
108,8,5,6,5,4,2,0
109,7,5,6,5,3,3,0
110,7,5,6,5,3,3,0
111,6,5,6,5,2,4,0
112,8,5,6,5,6,3,0
113,8,5,6,5,5,4,0
114,7,5,6,5,5,4,0
115,7,5,6,5,4,5,0
116,8,5,6,5,5,4,0
117,7,5,6,5,4,5,0
118,7,5,6,5,3,3,0
119,5,5,6,5,2,4,0
120,8,5,6,5,5,4,0
121,8,5,6,5,4,5,0
122,8,5,6,5,4,5,0
123,6,5,6,5,2,4,0
124,6,5,6,5,3,3,0
125,5,5,6,5,2,4,0
126,5,5,6,5,2,4,0
127,7,4,6,4,1,1,1
128,9,5,6,5,9,0,0
129,9,5,6,5,8,1,0
130,9,5,6,5,8,1,0
131,9,5,6,5,7,2,0
132,9,5,6,5,8,1,0
133,9,5,6,5,7,2,0
134,9,5,6,5,7,2,0
135,9,5,6,5,6,3,0
136,8,5,6,5,8,1,0
137,8,5,6,5,7,2,0
138,8,5,6,5,7,2,0
139,8,5,6,5,6,3,0
140,8,5,6,5,7,2,0
141,8,5,6,5,6,3,0
142,8,5,6,5,6,3,0
143,8,5,6,5,5,4,0
144,9,5,6,5,8,1,0
145,9,5,6,5,7,2,0
146,9,5,6,5,7,2,0
147,9,5,6,5,6,3,0
148,8,5,6,5,7,2,0
149,8,5,6,5,6,3,0
150,8,5,6,5,6,3,0
151,8,5,6,5,5,4,0
152,9,5,6,5,7,2,0
153,9,5,6,5,6,3,0
154,8,5,6,5,6,3,0
155,8,5,6,5,5,4,0
156,9,5,6,5,5,1,0
157,8,5,6,5,4,2,0
158,7,5,6,5,4,2,0
159,6,5,6,5,3,3,0
160,9,5,6,5,7,1,0
161,9,5,6,5,6,2,0
162,8,5,6,5,6,2,0
163,8,5,6,5,5,3,0
164,9,5,6,5,6,2,0
165,9,5,6,5,5,3,0
166,8,5,6,5,5,3,0
167,8,5,6,5,4,4,0
168,8,5,6,5,6,2,0
169,8,5,6,5,5,3,0
170,7,5,6,5,5,3,0
171,7,5,6,5,4,4,0
172,8,5,6,5,5,3,0
173,8,5,6,5,4,4,0
174,7,5,6,5,4,4,0
175,7,5,6,5,3,5,0
176,9,5,6,5,6,2,0
177,9,5,6,5,5,3,0
178,8,5,6,5,5,3,0
179,8,5,6,5,4,4,0
180,8,5,6,5,5,3,0
181,8,5,6,5,4,4,0
182,7,5,6,5,4,4,0
183,7,5,6,5,3,5,0
184,9,5,6,5,5,3,0
185,9,5,6,5,4,4,0
186,8,5,6,5,4,4,0
187,8,5,6,5,3,5,0
188,8,5,6,5,3,2,0
189,7,5,6,5,2,3,0
190,6,5,6,5,2,3,0
191,5,5,6,5,1,4,0
192,9,5,6,5,8,0,0
193,9,5,6,5,7,1,0
194,9,5,6,5,7,1,0
195,9,5,6,5,6,2,0
196,9,5,6,5,7,1,0
197,9,5,6,5,6,2,0
198,9,5,6,5,6,2,0
199,9,5,6,5,5,3,0
200,8,5,6,5,7,1,0
201,8,5,6,5,6,2,0
202,8,5,6,5,6,2,0
203,8,5,6,5,5,3,0
204,8,5,6,5,6,2,0
205,8,5,6,5,5,3,0
206,8,5,6,5,5,3,0
207,8,5,6,5,4,4,0
208,9,5,6,5,7,1,0
209,9,5,6,5,6,2,0
210,9,5,6,5,6,2,0
211,9,5,6,5,5,3,0
212,9,5,6,5,6,2,0
213,9,5,6,5,5,3,0
214,9,5,6,5,5,3,0
215,9,5,6,5,4,4,0
216,8,5,6,5,6,2,0
217,8,5,6,5,5,3,0
218,8,5,6,5,5,3,0
219,8,5,6,5,4,4,0
220,8,5,6,5,5,3,0
221,8,5,6,5,4,4,0
222,8,5,6,5,4,4,0
223,8,5,6,5,3,5,0
224,9,5,6,5,7,0,0
225,9,5,6,5,6,1,0
226,9,5,6,5,6,1,0
227,9,5,6,5,5,2,0
228,8,5,6,5,6,1,0
229,8,5,6,5,5,2,0
230,8,5,6,5,5,2,0
231,8,5,6,5,4,3,0
232,9,5,6,5,6,1,0
233,9,5,6,5,5,2,0
234,9,5,6,5,5,2,0
235,9,5,6,5,4,3,0
236,8,5,6,5,5,2,0
237,8,5,6,5,4,3,0
238,8,5,6,5,4,3,0
239,8,5,6,5,3,4,0
