,CEN,NDC,is_a (input),overlaps (inferred),congruent,overlaps (input),is_a (inferred)
0,4,5,12,7,1,1,0
1,4,5,12,6,1,1,1
2,4,5,11,6,1,1,1
3,4,5,11,5,1,1,2
4,4,5,11,6,1,1,1
5,4,5,11,5,1,1,2
6,4,5,9,4,1,1,1
7,4,5,8,3,1,1,2
8,4,5,11,6,1,1,1
9,4,5,10,5,1,1,2
10,4,5,10,4,1,1,1
11,4,5,8,3,1,1,2
12,4,5,10,5,1,1,2
13,4,5,8,3,1,1,2
14,4,5,7,3,1,1,2
15,3,4,8,2,2,1,0
16,4,5,12,6,1,1,0
17,4,5,12,5,1,1,1
18,4,5,11,5,1,1,1
19,4,5,11,4,1,1,2
20,4,5,11,5,1,1,1
21,4,5,11,4,1,1,2
22,4,5,9,3,1,1,1
23,4,5,8,2,1,1,2
24,4,5,12,6,1,1,0
25,4,5,11,5,1,1,1
26,4,5,11,5,1,1,1
27,4,5,10,4,1,1,2
28,4,5,12,5,1,1,0
29,4,5,11,4,1,1,1
